,time_utc,18_evening,12_evening,6_evening,18_morning,12_morning,6_morning
2022-10-23,2022-10-23,2459875.713282017,2459875.6954409233,2459875.67751144,2459876.128857613,2459876.1467171186,2459876.1646649
2022-10-24,2022-10-24,2459876.712880063,2459876.6950244606,2459876.677075753,2459877.1290747216,2459877.146949521,2459877.164916666
2022-10-25,2022-10-25,2459877.7124903523,2459877.6946195844,2459877.676651051,2459878.1292960113,2459878.1471867724,2459878.165173914
2022-10-26,2022-10-26,2459878.712113049,2459878.6942257187,2459878.6762375403,2459879.1295215455,2459879.1474289126,2459879.165436656
2022-10-27,2022-10-27,2459879.711748302,2459879.693843791,2459879.6758354185,2459880.129751377,2459880.1476759673,2459880.1657048943
2022-10-28,2022-10-28,2459880.711396255,2459880.693473969,2459880.6754448763,2459881.129985549,2459881.1479279543,2459881.16597862
2022-10-29,2022-10-29,2459881.7110570474,2459881.69311642,2459881.6750661023,2459882.1302241045,2459882.148184889,2459882.166257818
2022-10-30,2022-10-30,2459882.710730817,2459882.692771309,2459882.674699288,2459883.130467086,2459883.1484467853,2459883.166542477
2022-10-31,2022-10-31,2459883.710417707,2459883.6924388073,2459883.6743441653,2459884.130714541,2459884.1487136623,2459884.1668325835
2022-11-01,2022-11-01,2459884.710117861,2459884.6921190876,2459884.6740007866,2459885.130966716,2459885.1489855456,2459885.1671281345
2022-11-02,2022-11-02,2459885.7098314287,2459885.691812329,2459885.673669961,2459886.131223833,2459886.149262467,2459886.16742913
2022-11-03,2022-11-03,2459886.70955856,2459886.691518712,2459886.673351899,2459887.131485649,2459887.149544465,2459887.167735576
2022-11-04,2022-11-04,2459887.709299405,2459887.6912384164,2459887.673046813,2459888.131752234,2459888.14983158,2459888.1680474817
2022-11-05,2022-11-05,2459888.709054111,2459888.690971622,2459888.672754912,2459889.132023661,2459889.1501238523,2459889.1683648536
2022-11-06,2022-11-06,2459889.7088228213,2459889.690718503,2459889.672476404,2459890.132300002,2459890.1504213223,2459890.168687698
2022-11-07,2022-11-07,2459890.7086056755,2459890.690479231,2459890.672211493,2459891.132581322,2459891.1507240217,2459891.169016013
2022-11-08,2022-11-08,2459891.7084028036,2459891.690253969,2459891.6719603743,2459892.132867677,2459892.1510320497,2459892.1693497854
2022-11-09,2022-11-09,2459892.7082143286,2459892.690042872,2459892.6717232387,2459893.1331591127,2459893.1513462225,2459893.1696889903
2022-11-10,2022-11-10,2459893.708040328,2459893.6898460863,2459893.6715002647,2459894.1334556565,2459894.151665698,2459894.170033585
2022-11-11,2022-11-11,2459894.7078805617,2459894.6896637436,2459894.6712916205,2459895.133757323,2459895.1519904532,2459895.170383509
